"operator","inout_travelling","network_type","rating","calldrop_category","latitude","longitude","state_name"
"RJio","Outdoor","Unknown","3","Poor Voice Quality","-1","-1","NA"
"VI","Outdoor","4G","5","Satisfactory","26.10405581","91.69535791","Assam"
"VI","Travelling","4G","5","Satisfactory","26.1547078","91.657093","Assam"
"VI","Indoor","2G","5","Satisfactory","-1","-1","NA"
"Airtel","Indoor","4G","5","Satisfactory","13.0029873","77.71245401","Karnataka"
"VI","Outdoor","4G","5","Satisfactory","23.05012636","72.51591132","Gujarat"
"VI","Outdoor","4G","5","Satisfactory","23.05010057","72.51600342","Gujarat"
"VI","Outdoor","4G","5","Satisfactory","30.33179897","74.71072991","Punjab"
"VI","Outdoor","4G","5","Satisfactory","30.33179897","74.71072991","Punjab"
"VI","Indoor","4G","5","Satisfactory","30.33179897","74.71072991","Punjab"
"VI","Outdoor","4G","5","Satisfactory","23.05010616","72.51589466","Gujarat"
"VI","Indoor","4G","5","Satisfactory","21.01610991","75.55537647","Maharashtra"
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","23.11385192","72.55787819","Gujarat"
"VI","Indoor","2G","5","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","23.1139501","72.5576963","Gujarat"
"VI","Outdoor","4G","5","Satisfactory","23.0000429","72.60784952","Gujarat"
"VI","Outdoor","4G","5","Satisfactory","23.00005229","72.60786325","Gujarat"
"VI","Outdoor","4G","5","Satisfactory","23.00002612","72.607943","Gujarat"
"VI","Outdoor","4G","5","Satisfactory","23.1258047","72.5611685","Gujarat"
"VI","Outdoor","4G","5","Satisfactory","23.00002543","72.60784734","Gujarat"
"VI","Outdoor","4G","5","Satisfactory","23.1151023","72.5639226","Gujarat"
"VI","Outdoor","4G","5","Satisfactory","23.00005491","72.60786226","Gujarat"
"RJio","Travelling","4G","4","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","3","Satisfactory","30.07651267","78.24954656","Uttarakhand"
"VI","Travelling","4G","5","Satisfactory","29.1686516","75.6918731","Haryana"
"VI","Indoor","4G","5","Satisfactory","29.1686517","75.6918729","Haryana"
"VI","Outdoor","4G","5","Satisfactory","23.0945332","72.5463875","Gujarat"
"RJio","Indoor","Unknown","3","Satisfactory","30.07651267","78.24954656","Uttarakhand"
"RJio","Indoor","4G","5","Satisfactory","17.3266254","78.5157159","Telangana"
"VI","Indoor","2G","5","Satisfactory","18.50758583","73.83347011","Maharashtra"
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Outdoor","4G","5","Satisfactory","23.00025322","72.60767613","Gujarat"
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Outdoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","18.4660538","73.7828036","Maharashtra"
"VI","Indoor","4G","5","Satisfactory","18.458157","73.7862094","Maharashtra"
"VI","Outdoor","4G","5","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","5","Satisfactory","15.87439167","74.50427167","Karnataka"
"VI","Outdoor","4G","5","Satisfactory","22.99479646","72.60436063","Gujarat"
"VI","Outdoor","4G","5","Satisfactory","22.99479935","72.60436375","Gujarat"
"VI","Indoor","4G","5","Satisfactory","23.1140667","72.5574562","Gujarat"
"VI","Indoor","4G","5","Satisfactory","22.7544245","75.8651314","Madhya Pradesh"
"RJio","Indoor","Unknown","5","Satisfactory","22.7544245","75.8651314","Madhya Pradesh"
"RJio","Indoor","Unknown","5","Satisfactory","22.7544245","75.8651314","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.0014736","72.5019222","Gujarat"
"RJio","Indoor","4G","4","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","23.0014704","72.5019209","Gujarat"
"VI","Outdoor","4G","5","Satisfactory","23.0019999","72.5022661","Gujarat"
"VI","Travelling","4G","5","Satisfactory","23.0014913","72.5018986","Gujarat"
"VI","Indoor","4G","5","Satisfactory","23.0014913","72.5018986","Gujarat"
"VI","Outdoor","4G","5","Satisfactory","23.0014736","72.501919","Gujarat"
"VI","Indoor","4G","5","Satisfactory","23.0014758","72.5019164","Gujarat"
"RJio","Indoor","Unknown","5","Satisfactory","22.7544245","75.8651314","Madhya Pradesh"
"RJio","Indoor","4G","5","Satisfactory","12.9566035","77.4896515","Karnataka"
"RJio","Outdoor","4G","4","Satisfactory","15.87439167","74.50427167","Karnataka"
"RJio","Indoor","Unknown","3","Satisfactory","30.07651267","78.24954656","Uttarakhand"
"Airtel","Indoor","4G","5","Satisfactory","13.00293925","77.71175655","Karnataka"
"RJio","Indoor","4G","5","Satisfactory","15.86081333","74.50764","Karnataka"
"RJio","Indoor","4G","5","Satisfactory","17.3254073","78.5151466","Telangana"
"RJio","Indoor","4G","5","Satisfactory","15.86081333","74.50764","Karnataka"
"RJio","Indoor","4G","5","Satisfactory","15.86081333","74.50764","Karnataka"
"VI","Indoor","4G","5","Satisfactory","29.1686533","75.6918807","Haryana"
"VI","Outdoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Outdoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Outdoor","Unknown","5","Satisfactory","-1","-1","NA"
