"operator","inout_travelling","network_type","rating","calldrop_category","latitude","longitude","state_name"
"RJio","Indoor","4G","3","Satisfactory","-1","-1","NA"
"RJio","Outdoor","4G","1","Call Dropped","-1","-1","NA"
"Airtel","Indoor","4G","2","Poor Voice Quality","-1","-1","NA"
"VI","Indoor","3G","4","Satisfactory","21.14518708","79.08751799","Maharashtra"
"BSNL","Travelling","3G","1","Call Dropped","22.655457","88.3595414","West Bengal"
"VI","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"VI","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Travelling","4G","2","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","2G","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","2G","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Travelling","2G","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Travelling","4G","2","Poor Voice Quality","-1","-1","NA"
"Airtel","Travelling","4G","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Travelling","4G","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","2G","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","4G","1","Call Dropped","-1","-1","NA"
"Airtel","Indoor","2G","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"VI","Indoor","4G","1","Call Dropped","-1","-1","NA"
"VI","Indoor","2G","5","Satisfactory","18.4790148","74.0266865","Maharashtra"
"RJio","Indoor","4G","4","Satisfactory","-1","-1","NA"
"Airtel","Indoor","4G","4","Satisfactory","-1","-1","NA"
"RJio","Outdoor","4G","3","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","3","Satisfactory","-1","-1","NA"
"Airtel","Indoor","4G","4","Satisfactory","-1","-1","NA"
"Airtel","Travelling","Unknown","1","Poor Voice Quality","18.95476537","72.80156684","Maharashtra"
"BSNL","Outdoor","3G","1","Call Dropped","20.4972474","79.3766734","Maharashtra"
"VI","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"VI","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"VI","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"BSNL","Travelling","Unknown","1","Call Dropped","-1","-1","NA"
"BSNL","Outdoor","Unknown","1","Call Dropped","-1","-1","NA"
"BSNL","Outdoor","Unknown","1","Call Dropped","-1","-1","NA"
"BSNL","Outdoor","Unknown","1","Poor Voice Quality","-1","-1","NA"
"BSNL","Travelling","3G","5","Satisfactory","-1","-1","NA"
"BSNL","Indoor","3G","5","Satisfactory","-1","-1","NA"
"BSNL","Indoor","3G","5","Satisfactory","-1","-1","NA"
"BSNL","Outdoor","3G","4","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA"
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA"
"Airtel","Travelling","4G","3","Satisfactory","18.955212","72.8254908","Maharashtra"
"Airtel","Indoor","Unknown","4","Satisfactory","13.9368052","75.5480583","Karnataka"
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA"
"Airtel","Outdoor","4G","3","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","1","Poor Voice Quality","18.48812367","73.79028923","Maharashtra"
"VI","Indoor","4G","5","Satisfactory","23.16380415","77.44610435","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16380415","77.44610435","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16380415","77.44610435","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16380415","77.44610435","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16380415","77.44610435","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16380415","77.44610435","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16377926","77.44596655","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16377926","77.44596655","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16377926","77.44596655","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.1638625","77.4461284","Madhya Pradesh"
"Airtel","Indoor","Unknown","1","Poor Voice Quality","26.17423333","87.91151","Bihar"
"Airtel","Indoor","4G","1","Poor Voice Quality","26.17423333","87.91151","Bihar"
"Airtel","Indoor","4G","2","Poor Voice Quality","26.11386","87.93240333","Bihar"
"Airtel","Indoor","Unknown","4","Satisfactory","13.93716094","75.5480753","Karnataka"
"Airtel","Indoor","Unknown","4","Satisfactory","13.9367796","75.5481048","Karnataka"
"RJio","Outdoor","4G","5","Satisfactory","28.665575","77.26088333","Delhi"
"RJio","Indoor","4G","5","Satisfactory","28.6658285","77.260876","Delhi"
"VI","Indoor","4G","1","Call Dropped","-1","-1","NA"
"VI","Indoor","4G","1","Call Dropped","-1","-1","NA"
"RJio","Indoor","4G","4","Satisfactory","26.88911428","75.82222737","Rajasthan"
"VI","Indoor","Unknown","4","Satisfactory","21.12275931","79.06818805","Maharashtra"
"BSNL","Outdoor","3G","1","Poor Voice Quality","-1","-1","NA"
"BSNL","Outdoor","3G","1","Call Dropped","-1","-1","NA"
"BSNL","Outdoor","3G","1","Call Dropped","-1","-1","NA"
"BSNL","Outdoor","3G","1","Poor Voice Quality","12.925465","77.61880333","Karnataka"
"VI","Indoor","4G","3","Poor Voice Quality","21.12330275","79.06845134","Maharashtra"
"VI","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"VI","Indoor","Unknown","4","Satisfactory","20.9298648","78.97032262","Maharashtra"
"VI","Indoor","Unknown","4","Satisfactory","20.9298648","78.97032262","Maharashtra"
"RJio","Outdoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Indoor","Unknown","4","Satisfactory","20.9298648","78.97032262","Maharashtra"
