"operator","inout_travelling","network_type","rating","calldrop_category","latitude","longitude","state_name"
"RJio","Outdoor","Unknown","5","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","24.761262","78.83374644","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","24.761262","78.83374644","Madhya Pradesh"
"RJio","Outdoor","4G","5","Satisfactory","25.50989833","86.942385","Bihar"
"VI","Indoor","4G","5","Satisfactory","24.76614471","78.83387703","Madhya Pradesh"
"BSNL","Indoor","3G","1","Poor Voice Quality","29.3931049","79.4411315","Uttarakhand"
"RJio","Travelling","4G","4","Satisfactory","25.510715","86.94351333","Bihar"
"VI","Indoor","4G","5","Satisfactory","18.4790383","74.0267125","Maharashtra"
"RJio","Outdoor","4G","5","Satisfactory","-1","-1","NA"
"RJio","Outdoor","4G","4","Satisfactory","25.52456167","86.97475833","Bihar"
"Airtel","Indoor","Unknown","5","Satisfactory","12.9360969","77.6947098","Karnataka"
"RJio","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA"
"VI","Indoor","3G","1","Call Dropped","26.55173","92.93492","Assam"
"RJio","Indoor","Unknown","3","Satisfactory","18.9520392","72.8296757","Maharashtra"
"VI","Indoor","4G","5","Satisfactory","24.7726147","78.83306273","Madhya Pradesh"
"Airtel","Indoor","2G","5","Satisfactory","12.9360795","77.6947038","Karnataka"
"VI","Indoor","4G","5","Satisfactory","24.7726147","78.83306273","Madhya Pradesh"
"RJio","Outdoor","4G","2","Poor Voice Quality","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","24.7726147","78.83306273","Madhya Pradesh"
"RJio","Indoor","4G","5","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","2","Call Dropped","28.35756785","79.45708901","Uttar Pradesh"
"RJio","Outdoor","4G","2","Poor Voice Quality","-1","-1","NA"
"RJio","Outdoor","4G","4","Satisfactory","25.51053333","86.94263167","Bihar"
"RJio","Outdoor","4G","4","Satisfactory","25.51054167","86.94266333","Bihar"
"Airtel","Indoor","4G","1","Poor Voice Quality","24.63433912","78.29454733","Uttar Pradesh"
"RJio","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"RJio","Outdoor","4G","4","Satisfactory","25.50978833","86.93922833","Bihar"
"Airtel","Indoor","Unknown","4","Satisfactory","12.94144236","77.69656339","Karnataka"
"VI","Indoor","4G","5","Satisfactory","24.7617867","78.8340039","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","24.7617867","78.8340039","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","24.7617878","78.8340005","Madhya Pradesh"
"Airtel","Indoor","Unknown","4","Satisfactory","12.94144236","77.69656339","Karnataka"
"RJio","Indoor","4G","4","Satisfactory","25.50955167","86.94216667","Bihar"
"RJio","Indoor","4G","5","Satisfactory","25.50955167","86.94216667","Bihar"
"BSNL","Indoor","3G","4","Satisfactory","-1","-1","NA"
"BSNL","Indoor","3G","4","Satisfactory","-1","-1","NA"
"VI","Indoor","3G","4","Satisfactory","21.12180269","79.06359007","Maharashtra"
"VI","Indoor","4G","5","Satisfactory","24.7617874","78.8339994","Madhya Pradesh"
"RJio","Outdoor","4G","5","Satisfactory","-1","-1","NA"
"RJio","Outdoor","4G","5","Satisfactory","-1","-1","NA"
"RJio","Outdoor","4G","5","Satisfactory","-1","-1","NA"
"RJio","Travelling","4G","5","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","24.7617335","78.8339459","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","24.7617871","78.8340135","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","24.7617871","78.8340135","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","24.7617871","78.8340135","Madhya Pradesh"
"RJio","Indoor","4G","5","Satisfactory","15.86886833","74.50766167","Karnataka"
"VI","Indoor","4G","5","Satisfactory","24.7617851","78.8340092","Madhya Pradesh"
"RJio","Travelling","4G","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA"
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA"
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA"
"RJio","Indoor","4G","1","Call Dropped","28.7438644","77.0763202","Delhi"
"RJio","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA"
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA"
"RJio","Indoor","4G","1","Call Dropped","28.74380172","77.0764162","Delhi"
"RJio","Indoor","4G","1","Call Dropped","28.74380172","77.0764162","Delhi"
"RJio","Indoor","4G","1","Poor Voice Quality","28.74379617","77.07611375","Delhi"
"RJio","Indoor","4G","2","Poor Voice Quality","-1","-1","NA"
"BSNL","Indoor","3G","3","Satisfactory","-1","-1","NA"
"VI","Indoor","Unknown","1","Call Dropped","19.21330568","72.82394164","Maharashtra"
"RJio","Indoor","4G","5","Satisfactory","15.86886833","74.50766167","Karnataka"
"RJio","Indoor","4G","5","Satisfactory","-1","-1","NA"
"BSNL","Indoor","3G","4","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA"
"RJio","Travelling","4G","4","Satisfactory","25.51024667","86.94204333","Bihar"
